workout_id,lesson_id,user_id,leaderboard_position,total_points,state,app_type,app_tracker,studio_id,lesson_name,created_at
4745800,1394,26547,85,1557.1292,COMPLETED,ios,MYZONE-0001694856,CARDIO,Intervals #36,2020-11-07T09:30:00.958Z
4745767,1394,270827,86,1550.4878,COMPLETED,ios,TICKR 7659,CARDIO,Intervals #36,2020-11-07T09:30:00.802Z
4745856,1394,55168,86,1550.1849,COMPLETED,ios,TICKR X 2751,CARDIO,Intervals #36,2020-11-07T09:30:01.289Z
4745955,1394,480632,88,1548.8136,COMPLETED,ios,TICKR X 6885,CARDIO,Intervals #36,2020-11-07T09:30:10.822Z
4745978,1394,51329,89,1547.7292,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:11.331Z
4745961,1394,512050,90,1477.3585,QUIT,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:11.079Z
4745907,1394,47417,91,1545.941,COMPLETED,ios,TICKR X 4C09,CARDIO,Intervals #36,2020-11-07T09:30:02.285Z
4745996,1394,217008,92,1544.5287,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:12.174Z
4745991,1394,484401,93,1548.5955,COMPLETED,ios,TICKR X 1EEC,CARDIO,Intervals #36,2020-11-07T09:30:11.721Z
4745962,1394,92685,93,1545.3079,COMPLETED,ios,TICKR X 45AB,CARDIO,Intervals #36,2020-11-07T09:30:11.125Z
4745850,1394,414530,95,1538.3031,COMPLETED,ios,TICKR X 75F7,CARDIO,Intervals #36,2020-11-07T09:30:01.202Z
4745983,1394,308093,96,1540.4985,COMPLETED,ios,TICKR X E113,CARDIO,Intervals #36,2020-11-07T09:30:11.399Z
4745933,1394,282532,97,1530.3276,COMPLETED,android,FIIT 9F705B,CARDIO,Intervals #36,2020-11-07T09:30:03.278Z
4746002,1394,304353,98,1528.5057,COMPLETED,android,TICKR X 285F,CARDIO,Intervals #36,2020-11-07T09:30:12.88Z
4745888,1394,29149,99,1530.405,COMPLETED,ios,TICKR X 7AFE,CARDIO,Intervals #36,2020-11-07T09:30:01.748Z
4745791,1394,116828,100,1529.4788,COMPLETED,ios,TICKR X 553F,CARDIO,Intervals #36,2020-11-07T09:30:00.937Z
4745750,1394,510830,101,1526.3864,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.753Z
4745999,1394,419461,102,1531.1554,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:12.521Z
4745755,1394,111377,103,1519.2115,COMPLETED,ios,TICKR X 7603,CARDIO,Intervals #36,2020-11-07T09:30:00.759Z
4745806,1394,264102,104,1514.0957,COMPLETED,ios,TICKR X 7C68,CARDIO,Intervals #36,2020-11-07T09:30:00.982Z
